"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем заказ самоката с разными точками входа","2397","Проверка заказа самоката","page_object.tests","2026-05-26","passed","2026-05-26","TestOrderPage","test_order_page","",""
"Проверяем, что при нажатии на стрелочку рядом с вопросом открывается соответствующий текст ответа.","284","Проверка блока вопрос и ответ в разделе ""Вопросы о важном""","page_object.tests","2026-05-26","passed","2026-05-26","TestMainPage","test_main_page","",""
"Проверяем, что при нажатии на стрелочку рядом с вопросом открывается соответствующий текст ответа.","328","Проверка блока вопрос и ответ в разделе ""Вопросы о важном""","page_object.tests","2026-05-26","passed","2026-05-26","TestMainPage","test_main_page","",""
"Проверяем, что при нажатии на стрелочку рядом с вопросом открывается соответствующий текст ответа.","294","Проверка блока вопрос и ответ в разделе ""Вопросы о важном""","page_object.tests","2026-05-26","passed","2026-05-26","TestMainPage","test_main_page","",""
"Проверяем, что при нажатии на стрелочку рядом с вопросом открывается соответствующий текст ответа.","292","Проверка блока вопрос и ответ в разделе ""Вопросы о важном""","page_object.tests","2026-05-26","passed","2026-05-26","TestMainPage","test_main_page","",""
"Проверяем, что при нажатии на стрелочку рядом с вопросом открывается соответствующий текст ответа.","291","Проверка блока вопрос и ответ в разделе ""Вопросы о важном""","page_object.tests","2026-05-26","passed","2026-05-26","TestMainPage","test_main_page","",""
"Проверяем, что при нажатии на стрелочку рядом с вопросом открывается соответствующий текст ответа.","303","Проверка блока вопрос и ответ в разделе ""Вопросы о важном""","page_object.tests","2026-05-26","passed","2026-05-26","TestMainPage","test_main_page","",""
"Проверяем заказ самоката с разными точками входа","2366","Проверка заказа самоката","page_object.tests","2026-05-26","passed","2026-05-26","TestOrderPage","test_order_page","",""
"Проверяем, что при нажатии на стрелочку рядом с вопросом открывается соответствующий текст ответа.","290","Проверка блока вопрос и ответ в разделе ""Вопросы о важном""","page_object.tests","2026-05-26","passed","2026-05-26","TestMainPage","test_main_page","",""
"Проверяем, что при нажатии на стрелочку рядом с вопросом открывается соответствующий текст ответа.","290","Проверка блока вопрос и ответ в разделе ""Вопросы о важном""","page_object.tests","2026-05-26","passed","2026-05-26","TestMainPage","test_main_page","",""
"Проверяем, что при нажатии на логотип ""Самоката"" открывается главная страница.","367","Проверка перехода на главную страницу по логотипу ""Самоката""","page_object.tests","2026-05-26","passed","2026-05-26","TestMainPage","test_main_page","",""
"Проверяем, что при нажатии на логотип ""Яндекса"" открывается главная страница YA.","1433","Проверка перехода на главную страницу YA по логотипу ""Яндекса""","page_object.tests","2026-05-26","passed","2026-05-26","TestRedirectPage","test_redirect_page","",""
